フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
コヨーテ,けものミラクル,与ダメージ増加,12%×ギブアップ中~~ではない味方の人数,味方全体,アクティブ属性の味方,3ターン,-,-,
ライジュウ,キセキとくせい,与ダメージ増加,0.3,味方全体,フレンドリー属性の味方~~びりびり状態の相手,-,-,-,
オランウータン,けものミラクル,与ダメージ増加,0.2,味方全体,リラックス属性の味方,3ターン,-,-,
ツノサイチョウ,けものミラクル,与ダメージ増加,0.27,味方全体,-,3ターン,-,-,
ツノサイチョウ,たいきスキル,与ダメージ増加,0.05,味方全体,ファニー属性の味方,3ターン,1,2回,
ツノサイチョウ,とくせい,与ダメージ増加,0.05,味方全体,-,-,-,-,
ツノサイチョウ,とくせい,与ダメージ増加,0.15,味方全体,地形がジャングル~~ファニー属性の味方,-,-,-,
ツノサイチョウ,キセキとくせい,与ダメージ増加,0.1,自身を除く~~味方全体,ファニー属性の味方~~自身のたいりょくが80%以下,-,-,-,
オオサイチョウ,けものミラクル,与ダメージ増加,0.31,味方全体,-,3ターン,-,-,
オオサイチョウ,けものミラクル,与ダメージ増加,0.19,味方全体,マイペース属性の味方,1ターン,-,-,
オーストラリアデビル(桃),けものミラクル,与ダメージ増加,0.35,味方全体,ラブリー属性の味方~~ズキンズキン状態の相手,3ターン,-,-,
オーストラリアデビル(桃),キセキとくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方~~ステージの時間が夜,-,-,-,
タスマニアデビル(青),けものミラクル,与ダメージ増加,0.45,味方全体,-,3ターン,-,-,
タスマニアデビル(青),とくせい,与ダメージ増加,0.05,味方全体,リラックス属性の味方~~ステージの時間が夜,-,-,-,
タスマニアデビル(青),キセキとくせい,与ダメージ増加,0.2,味方全体,リラックス属性の味方~~ズキンズキン状態の相手,-,-,-,
でびるさま,キセキとくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
カコミスル,とくせい,与ダメージ増加,0.1,味方全体,ファニー属性,-,-,-,
カコミスル,キセキとくせい,与ダメージ増加,0.08,味方全体,ファニー属性~~フレンズ戦,-,-,-,
シマハイイロギツネ,けものミラクル,与ダメージ増加,0.25,味方全体,ラブリー属性の味方,2ターン,-,-,
シマハイイロギツネ,たいきスキル,与ダメージ増加,0.05,味方全体,ラブリー属性の味方,3ターン,0.7,∞,
シマハイイロギツネ,とくせい,与ダメージ増加,0.05,味方全体,ラブリー属性の味方,-,-,-,
シマハイイロギツネ,キセキとくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方,-,-,-,
マカミ,キセキとくせい,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方~~リラックス属性の相手,-,-,-,
コアラ,キセキとくせい,与ダメージ増加,0.1,味方全体,自身のたいりょくが50%以上,-,-,-,
コアラ,とくせい,与ダメージ増加,0.05,自身を除く~~味方全体,強敵出現wave,-,-,-,
コアラ,とくせい,与ダメージ増加,0.03,自身を除く~~味方全体,-,-,-,-,
コアラ,たいきスキル,与ダメージ増加,0.15,味方全体,マイペース属性の味方,4ターン,1,2回,
チベットスナギツネ(青),けものミラクル,与ダメージ増加,0.09,味方全体,リラックス属性,8ターン,-,-,
チベットスナギツネ(青),けものミラクル,与ダメージ増加,0.09,味方全体,ギブアップ中でない味方が5人,8ターン,-,-,
チベットスナギツネ(青),とくせい,与ダメージ増加,0.05,味方全体,リラックス属性の味方,-,-,-,
チベットスナギツネ(青),とくせい,与ダメージ増加,0.05,自身を除く~~味方全体,リラックス属性の味方,-,-,-,
チベットスナギツネ(青),キセキとくせい,与ダメージ増加,0.05,味方全体,ギブアップ中ではない味方が5人,-,-,-,
マヌルネコ(桃),キセキとくせい,与ダメージ増加,0.3,味方全体,ひやひや状態の相手,-,-,-,
ゴシンギュウサマ,キセキとくせい,与ダメージ増加,0.12,味方全体,ファニー属性の味方,-,-,-,
ゴシンギュウサマ,たいきスキル,与ダメージ増加,0.2,味方全体,-,2ターン,1,3回,
ゴシンギュウサマ,とくせい,与ダメージ増加,0.2,味方全体,自身がすやすや状態のとき,-,-,-,
ニホンザル,けものミラクル,与ダメージ増加,0.25,味方全体,-,3ターン,-,-,
ホッキョクオオカミ,とくせい,与ダメージ増加,0.2,自身を除く~~味方全体,地形がさばく~~ひやひや状態の相手,-,-,-,
ロバ,キセキとくせい,与ダメージ増加,0.12,味方全体,フレンドリー属性の味方,-,-,-,
ロバ,キセキとくせい,与ダメージ増加,0.05,自身,自身のたいりょくが50%以下~~フレンドリー属性の味方,-,-,-,
シロヘラコウモリ,キセキとくせい,与ダメージ増加,0.1,味方全体,自身がギブアップ状態でないとき,-,-,-,
シロヘラコウモリ,とくせい,与ダメージ増加,0.1,味方全体,地形がジャングル~~リラックス属性の味方,-,-,-,
シロヘラコウモリ,たいきスキル,与ダメージ増加,0.15,味方全体,リラックス属性の味方,2ターン,1,2回,
シロヘラコウモリ,けものミラクル,与ダメージ増加,0.35,味方全体,-,3ターン,-,-,
テングコウモリ,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,ラブリー属性の味方,2ターン,1,1回,
テングコウモリ,けものミラクル,与ダメージ増加,0.19,味方全体,ラブリー属性の味方,3ターン,-,-,
トド,とくせい,与ダメージ増加,0.2,味方全体,マイペース属性の味方~~くらくら状態の相手,-,-,-,
ケルベロス,キセキとくせい,与ダメージ増加,0.1,味方全体,リラックス属性の味方~~ぼんやりうっかり状態の相手,-,-,-,
ウミネコ,けものミラクル,与ダメージ増加,0.25,味方全体,-,2ターン,-,-,
ウミネコ,けものミラクル,与ダメージ増加,0.25,味方全体,ラブリー属性の味方,2ターン,-,-,
コンゴウインコ,キセキとくせい,与ダメージ増加,0.1,味方全体,自身が状態異常でない,-,-,-,
コンゴウインコ,けものミラクル,与ダメージ増加,0.25,味方全体,-,3ターン,-,-,
パラケラテリウム,キセキとくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
パラケラテリウム,たいきスキル,与ダメージ増加,0.05,味方全体,アクティブ属性の味方,2ターン,1,2回,
パラケラテリウム,けものミラクル,与ダメージ増加,0.2,味方全体,-,3ターン,-,-,
タチコマ type-S,キセキとくせい,与ダメージ増加,0.12,味方全体,リラックス属性の味方,-,-,-,
キュウビキツネ,けものミラクル,与ダメージ増加,0.34,味方全体,どく状態の相手,3ターン,-,-,
マルタタイガー,たいきスキル,与ダメージ増加,0.05,ランダムな味方2体,2効果からランダム,2ターン,1,2回,
ノドグロミツオシエ,キセキとくせい,与ダメージ増加,0.15,味方全体,ラブリー属性の味方,-,-,-,
アゴヒゲアザラシ,けものミラクル,与ダメージ増加,0.25,味方全体,-,3ターン,-,-,
アゴヒゲアザラシ,けものミラクル,与ダメージ増加,0.15,味方全体,マイペース属性の味方,3ターン,-,-,
アゴヒゲアザラシ,たいきスキル,与ダメージ増加,0.04,味方全体,-,3ターン,1,2回,
スザク,たいきスキル,与ダメージ増加,0.05,味方全体,-,5ターン,1,∞,
ニワトリ,けものミラクル,与ダメージ増加,0.19,味方全体,ラブリー属性の味方,2ターン,-,-,
ニワトリ,キセキとくせい,与ダメージ増加,0.2,味方全体,ラブリー属性の味方~~くらくら状態の相手,-,-,-,
ハクトウワシ(緑),けものミラクル,与ダメージ増加,0.39,味方全体,-,2ターン,-,-,
ハクトウワシ(緑),けものミラクル,与ダメージ増加,0.11,味方全体,ギブアップ中ではない味方が5人,2ターン,-,-,
ハクトウワシ(緑),キセキとくせい,与ダメージ増加,0.15,味方全体,-,-,-,-,
オオタカ(赤),キセキとくせい,与ダメージ増加,0.1,味方全体,たいりょく60%以上,-,-,-,
ジョフロイネコ,けものミラクル,与ダメージ増加,0.35,自身を除く~~味方全体,ラブリー属性の味方,3ターン,-,-,
オオウミガラス,けものミラクル,与ダメージ増加,0.35,味方全体,ズキンズキン状態の相手,3ターン,-,-,
マーモット,とくせい,与ダメージ増加,0.1,味方全体,地形がやま,-,-,-,
シヴァテリウム,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,0.7,2回,
ドラコケンタウロス,とくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
アフリカオニネズミ,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,1,2回,
アフリカオニネズミ,とくせい,与ダメージ増加,0.1,味方全体,フレンズ戦,-,-,-,
ゲンブ,たいきスキル,与ダメージ増加,0.1,味方全体,-,2ターン,1,2回,
オオミミギツネ,キセキとくせい,与ダメージ増加,0.2,味方全体,ファニー属性の味方~~くたくた状態の相手,-,-,-,
ゴリラ,とくせい,与ダメージ増加,0.1,味方全体,セルリアン戦,-,-,-,
マンモス,キセキとくせい,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が5人,-,-,-,
ヤンバルクイナ,けものミラクル,与ダメージ増加,0.24,味方全体,ラブリー属性の味方,4ターン,-,-,
ヤンバルクイナ,キセキとくせい,与ダメージ増加,0.1,味方全体,たいりょく60%以下,-,-,-,
メキシコサラマンダー,けものミラクル,与ダメージ増加,0.24,味方全体,-,2ターン,-,-,
メキシコサラマンダー,キセキとくせい,与ダメージ増加,0.2,味方全体,リラックス属性の味方~~ぼんやりうっかり状態,-,-,-,
人面魚,キセキとくせい,与ダメージ増加,0.15,味方全体,地形がみずべ,-,-,-,
キングペンギン,キセキとくせい,与ダメージ増加,0.2,味方全体,フレンドリー属性の味方~~ズキンズキン状態の相手,-,-,-,
ハシブトガラス,キセキとくせい,与ダメージ増加,0.2,味方全体,リラックス属性の味方~~くらくら状態の相手,-,-,-,
カルガモ,けものミラクル,与ダメージ増加,0.45,自身を除く~~味方全体,-,3ターン,-,-,
カルガモ,たいきスキル,与ダメージ増加,0.1,自身を除く~~味方全体,-,2ターン,0.6,∞,
カルガモ,キセキとくせい,与ダメージ増加,0.12,味方全体,ファニー属性の味方,-,-,-,
ドール(黄緑),たいきスキル,与ダメージ増加,0.12,味方全体,-,1ターン,1,1回,
ドール(黄緑),キセキとくせい,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が5人,-,-,-,
ミーアキャット(桃),とくせい,与ダメージ増加,0.08,味方全体,-,-,-,-,
マイルカ(黄緑),とくせい,与ダメージ増加,0.2,味方全体,アクティブ属性の味方~~くたくた状態の相手,-,-,-,
ユニコ,けものミラクル,与ダメージ増加,0.45,味方全体,-,3ターン,-,-,
ユニコ,たいきスキル,与ダメージ増加,0.13,味方全体,-,2ターン,1,2回,
ユニコ,とくせい,与ダメージ増加,0.1,味方全体,-,-,-,-,
オカピ,けものミラクル,与ダメージ増加,0.25,味方全体,-,3ターン,-,-,
オカピ,けものミラクル,与ダメージ増加,0.15,味方全体,ファニー属性の味方,3ターン,-,-,
オカピ,たいきスキル,与ダメージ増加,0.08,味方全体,-,2ターン,1,4回,
オカピ,キセキとくせい,与ダメージ増加,0.1,味方全体,たいりょく80%以上,-,-,-,
タテゴトアザラシ,けものミラクル,与ダメージ増加,0.35,味方全体,-,3ターン,-,-,
タテゴトアザラシ,キセキとくせい,与ダメージ増加,0.25,味方全体,くらくら状態の相手,-,-,-,
ニホンカワウソ,けものミラクル,与ダメージ増加,0.3,味方全体,ラブリー属性の味方,2ターン,-,-,
ニホンカワウソ,たいきスキル,与ダメージ増加,0.1,味方全体,ギブアップ中ではない味方が5人,3ターン,1,1回,
ニホンカワウソ,とくせい,与ダメージ増加,0.05,味方全体,-,-,-,-,
ニホンカワウソ,キセキとくせい,与ダメージ増加,0.12,味方全体,自身がギブアップでないとき,-,-,-,
アデリーペンギン,キセキとくせい,与ダメージ増加,0.2,味方全体,アクティブ属性の味方~~ズキンズキン状態の相手,-,-,-,
オーロックス,たいきスキル,与ダメージ増加,0.1,味方全体,フレンドリー属性の味方,3ターン,1,2回,
